scoreset,n_samples,mse,rmse,mae,r2
urn:mavedb:00000771-a-1,645,0.06589108891110021,0.25669259613611806,0.19592254521427283,0.4264524455924562
urn:mavedb:00001192-a-1,280,0.06602094998141324,0.25694542218419314,0.20321339968214178,0.7184534707411256
urn:mavedb:00000829-a-1,179,0.06702386233418411,0.25888967212730624,0.17783376220289515,0.6645640671177522
urn:mavedb:00000115-a-27,943,0.0671109933984401,0.2590578958426863,0.19679276924976585,0.5921686320585708
urn:mavedb:00000822-a-1,919,0.06764506782399032,0.2600866544519159,0.13399171496126477,0.5905805405138889
urn:mavedb:00000743-a-1,1317,0.06794946403602388,0.26067117991067573,0.17905118903116338,0.5248756931582181
urn:mavedb:00001053-a-1,602,0.06901226646071884,0.26270185850259764,0.21507591061892706,0.5561740151331409
urn:mavedb:00000115-a-6,1973,0.06933395156027145,0.2633134093818077,0.17574905209221636,0.5767854343752377
urn:mavedb:00000115-a-2,1959,0.07012727508178926,0.2648155491692081,0.19113243549707462,0.579736455666062
urn:mavedb:00000782-a-1,278,0.07068474972491487,0.26586603717834073,0.1968211929018365,0.3955919372374247
urn:mavedb:00000881-a-1,584,0.07072986588380073,0.2659508711845117,0.2076918572595313,0.3851052005817641
urn:mavedb:00001176-a-1,537,0.07117421720597508,0.2667849643551433,0.20188068303931203,0.625913754047669
urn:mavedb:00001159-a-1,259,0.07202197721955404,0.26836910630613586,0.21662271401963107,0.7037035484652471
urn:mavedb:00000115-a-23,499,0.07206646536304274,0.2684519796221342,0.17192026371532226,0.37851517737171747
urn:mavedb:00000898-a-1,635,0.07332738125454394,0.2707902901777387,0.22133255556449705,0.36330954024923123
urn:mavedb:00000115-a-5,1755,0.07363265986601279,0.27135338558052446,0.19051633599027826,0.7033676770588926
urn:mavedb:00000911-a-1,657,0.07521950976338544,0.2742617541025096,0.20711148764487497,0.45566949415490243
urn:mavedb:00000975-a-1,651,0.07522511780676185,0.27427197780079876,0.22088623140828378,0.5572067155819898
urn:mavedb:00000977-a-1,778,0.07717042662374111,0.27779565623627217,0.21526243627284983,0.40263917671260163
urn:mavedb:00000847-a-1,643,0.08128086350678985,0.28509798930681685,0.2274922704460649,0.5675307907961322
urn:mavedb:00001052-a-1,594,0.08251977420099421,0.28726255273006646,0.2292452488414784,0.3839302101809735
urn:mavedb:00000115-a-1,2015,0.08308689796196847,0.28824797997899043,0.20932762705911095,0.7955200108500213
urn:mavedb:00000818-a-1,330,0.08523945399543424,0.29195796614484465,0.19462465947496982,0.6108352793947323
urn:mavedb:00000742-a-1,1047,0.08616270841165717,0.29353485042096306,0.22470570059664208,0.3184914180752211
urn:mavedb:00000115-a-7,2079,0.08712521580069048,0.29516980841659685,0.21646972879034998,0.7363020246851986
urn:mavedb:00001129-a-1,836,0.08947436945810666,0.29912266623929834,0.2468140445747545,0.42028259573437576
urn:mavedb:00000739-a-1,1004,0.0895105086873422,0.29918306885140106,0.21833095288111742,0.49813245729635425
urn:mavedb:00000910-a-1,642,0.0904678347710696,0.30077871395939837,0.23732215254651587,0.46736575390722157
urn:mavedb:00000094-a-4,494,0.09064619000934288,0.301075057102615,0.22755057051928357,-0.06630470534834298
urn:mavedb:00001057-a-1,483,0.09078831261170804,0.301310989862149,0.21754207571371184,0.49170858153271746
urn:mavedb:00000846-a-1,832,0.09126576724451846,0.30210224634139754,0.2449787435691865,0.10610530374775085
urn:mavedb:00000730-a-1,432,0.09179266674725255,0.30297304623885696,0.2036470815532693,0.1845952808999124
urn:mavedb:00000979-a-1,833,0.09391012000007354,0.3064475811620538,0.23124854052044497,0.2621902117012326
urn:mavedb:00000719-a-1,632,0.09488861767894677,0.3080399611721615,0.2550995004153817,0.1692597219882811
